change_id,old_name,new_name,item_type,module,model,change_scope,impact_type,context,confidence,parent_change_id,validation_status
1,supplier_invoice_count,count_supplier_invoice,field,account,res.partner,declaration,primary,,0.9,,auto_approved
255,supplier_invoice_count,count_supplier_invoice,field,account,res.partner,reference,self_reference,_compute_supplier_invoice_count,0.882,1,approved
2,_compute_supplier_invoice_count,_compute_count_supplier_invoice,method,account,res.partner,declaration,primary,,0.9,,auto_approved
179,_get_display_price,_get_price_display,method,sale,sale.order.line,declaration,primary,,1,,auto_approved
6,_get_display_price,_get_price_display,method,event_booth_sale,sale.order.line,declaration,inheritance,,1,179,auto_approved
7,_get_display_price,_get_price_display,method,event_sale,sale.order.line,declaration,inheritance,,1,179,auto_approved
201,_get_display_price,_get_price_display,method,sale_loyalty,sale.order.line,declaration,inheritance,,1,179,auto_approved
262,_get_display_price,_get_price_display,method,event_booth_sale,sale.order.line,super_call,inheritance,_get_display_price,0.85,179,approved
263,_get_display_price,_get_price_display,method,event_sale,sale.order.line,super_call,inheritance,_get_display_price,0.85,179,approved
264,_get_display_price,_get_price_display,method,sale_loyalty,sale.order.line,super_call,inheritance,_get_display_price,0.85,179,approved
12,open_assignation_logs,action_view_assignation_logs,method,fleet,fleet.vehicle,declaration,primary,,1,,auto_approved
17,_get_destination_location,_get_location_destination,method,mrp_subcontracting_dropshipping,purchase.order,declaration,primary,,1,,auto_approved
267,_get_destination_location,_get_location_destination,method,purchase_stock,purchase.order,call,self_call,_prepare_picking,0.9,17,auto_approved
266,_get_destination_location,_get_location_destination,method,mrp_subcontracting_dropshipping,purchase.order,super_call,inheritance,_get_destination_location,0.85,17,approved
104,_get_destination_location,_get_location_destination,method,purchase_stock,purchase.order,declaration,primary,,1,,auto_approved
269,_get_destination_location,_get_location_destination,method,purchase_stock,purchase.order,call,self_call,_prepare_picking,0.9,104,auto_approved
268,_get_destination_location,_get_location_destination,method,mrp_subcontracting_dropshipping,purchase.order,super_call,inheritance,_get_destination_location,0.85,104,approved
18,invoice_status,invoice_state,field,point_of_sale,pos.order,declaration,primary,,0.9,,auto_approved
181,_compute_qty_delivered,_compute_qty_transfered,method,sale,sale.order.line,declaration,primary,,0.9,,auto_approved
20,_compute_qty_delivered,_compute_qty_transfered,method,pos_sale,sale.order.line,declaration,inheritance,,0.9,181,auto_approved
206,_compute_qty_delivered,_compute_qty_transfered,method,sale_mrp,sale.order.line,declaration,inheritance,,0.9,181,auto_approved
210,_compute_qty_delivered,_compute_qty_transfered,method,sale_project,sale.order.line,declaration,inheritance,,0.9,181,auto_approved
234,_compute_qty_delivered,_compute_qty_transfered,method,sale_stock,sale.order.line,declaration,inheritance,,0.9,181,auto_approved
270,_compute_qty_delivered,_compute_qty_transfered,method,pos_sale,sale.order.line,super_call,inheritance,_compute_qty_delivered,0.833,181,approved
271,_compute_qty_delivered,_compute_qty_transfered,method,sale_mrp,sale.order.line,super_call,inheritance,_compute_qty_delivered,0.833,181,approved
272,_compute_qty_delivered,_compute_qty_transfered,method,sale_project,sale.order.line,super_call,inheritance,_compute_qty_delivered,0.833,181,approved
273,_compute_qty_delivered,_compute_qty_transfered,method,sale_stock,sale.order.line,super_call,inheritance,_compute_qty_delivered,0.833,181,approved
23,product_count,count_product,field,product,product.category,declaration,primary,,0.9,,auto_approved
24,combo_item_count,count_combo_item,field,product,product.combo,declaration,primary,,0.9,,auto_approved
276,combo_item_count,count_combo_item,field,product,product.combo,reference,self_reference,_compute_combo_item_count,0.882,24,approved
25,product_variant_count,count_product_variant,field,product,product.pricelist.item,declaration,primary,,0.9,,auto_approved
26,product_document_count,count_product_document,field,product,product.product,declaration,primary,,0.9,,auto_approved
27,pricelist_item_count,count_pricelist_item,field,product,product.product,declaration,primary,,0.9,,auto_approved
28,product_variant_count,count_product_variant,field,product,product.supplierinfo,declaration,primary,,0.9,,auto_approved
29,product_variant_count,count_product_variant,field,product,product.template,declaration,primary,,0.9,,auto_approved
277,product_variant_count,count_product_variant,field,product,product.template,reference,self_reference,open_pricelist_rules,0.882,29,approved
278,product_variant_count,count_product_variant,field,product,product.template,reference,self_reference,get_single_product_variant,0.882,29,approved
279,product_variant_count,count_product_variant,field,stock,product.template,reference,self_reference,action_open_product_lot,0.882,29,approved
280,product_variant_count,count_product_variant,field,website_sale,product.template,reference,self_reference,_to_markup_data,0.882,29,approved
30,product_document_count,count_product_document,field,product,product.template,declaration,primary,,0.9,,auto_approved
31,pricelist_item_count,count_pricelist_item,field,product,product.template,declaration,primary,,0.9,,auto_approved
32,packaging_barcodes_count,count_packaging_barcodes,field,product,uom.uom,declaration,primary,,0.9,,auto_approved
33,product_count,count_product,field,product,update.product.attribute.value,declaration,primary,,0.9,,auto_approved
281,product_count,count_product,field,product,update.product.attribute.value,reference,self_reference,_compute_product_count,0.882,33,approved
34,action_open_product_template_attribute_lines,action_view_product_template_attribute_lines,method,product,product.attribute,declaration,primary,,1,,auto_approved
37,_compute_product_count,_compute_count_product,method,product,product.category,declaration,primary,,0.9,,auto_approved
38,_compute_combo_item_count,_compute_count_combo_item,method,product,product.combo,declaration,primary,,0.9,,auto_approved
39,open_product_template,action_open_product_template,method,product,product.product,declaration,primary,,1,,auto_approved
40,open_pricelist_rules,action_open_pricelist_rules,method,product,product.product,declaration,primary,,1,,auto_approved
41,_compute_product_document_count,_compute_count_product_document,method,product,product.product,declaration,primary,,0.9,,auto_approved
42,open_pricelist_rules,action_open_pricelist_rules,method,product,product.template,declaration,primary,,1,,auto_approved
43,_compute_product_variant_count,_compute_count_product_variant,method,product,product.template,declaration,primary,,0.9,,auto_approved
44,_compute_product_document_count,_compute_count_product_document,method,product,product.template,declaration,primary,,0.9,,auto_approved
46,_compute_packaging_barcodes_count,_compute_count_packaging_barcodes,method,product,uom.uom,declaration,primary,,0.9,,auto_approved
47,_compute_product_count,_compute_count_product,method,product,update.product.attribute.value,declaration,primary,,0.9,,auto_approved
49,purchase_order_count,count_purchase_order,field,purchase,account.move,declaration,primary,,0.9,,auto_approved
53,purchase_line_id,purchase_line_ids,field,purchase,account.move.line,declaration,primary,,1,,auto_approved
297,purchase_line_id,purchase_line_ids,field,purchase,account.move.line,reference,self_reference,_copy_data_extend_business_fields,0.9,53,auto_approved
298,purchase_line_id,purchase_line_ids,field,purchase,account.move.line,reference,self_reference,_related_analytic_distribution,0.9,53,auto_approved
300,purchase_line_id,purchase_line_ids,field,purchase_stock,account.move.line,reference,self_reference,_get_valued_in_moves,0.9,53,auto_approved
301,purchase_line_id,purchase_line_ids,field,purchase_stock,account.move.line,reference,self_reference,_get_out_and_not_invoiced_qty,0.9,53,auto_approved
302,purchase_line_id,purchase_line_ids,field,purchase_stock,account.move.line,reference,self_reference,_generate_price_difference_vals,0.9,53,auto_approved
303,purchase_line_id,purchase_line_ids,field,purchase_stock,account.move.line,reference,self_reference,_prepare_pdiff_vals,0.9,53,auto_approved
305,purchase_line_id,purchase_line_ids,field,purchase_stock,account.move.line,reference,self_reference,_get_price_unit_val_dif_and_relevant_qty,0.9,53,auto_approved
56,invoice_count,count_invoice_ids,field,purchase,purchase.order,declaration,primary,,1,,auto_approved
57,order_line,line_ids,field,purchase,purchase.order,declaration,primary,,0.9,,auto_approved
308,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_compute_show_comparison,0.882,57,approved
309,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,onchange_date_planned,0.882,57,approved
310,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_compute_tax_id,0.882,57,approved
311,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,action_purchase_comparison,0.882,57,approved
312,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_add_supplier_to_product,0.882,57,approved
313,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_prepare_down_payment_section_values,0.882,57,approved
314,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_create_downpayments,0.882,57,approved
318,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_get_action_add_from_catalog_extra_context,0.882,57,approved
319,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_get_product_catalog_record_lines,0.882,57,approved
320,order_line,line_ids,field,purchase,purchase.order,reference,self_reference,_update_order_line_info,0.882,57,approved
323,order_line,line_ids,field,purchase_mrp,purchase.order,reference,self_reference,_get_mrp_productions,0.882,57,approved
326,order_line,line_ids,field,purchase_requisition,purchase.order,reference,self_reference,_onchange_requisition_id,0.882,57,approved
327,order_line,line_ids,field,sale_purchase,purchase.order,reference,self_reference,_get_sale_orders,0.882,57,approved
328,order_line,line_ids,field,sale_purchase_stock,purchase.order,reference,self_reference,_get_sale_orders,0.882,57,approved
331,order_line,line_ids,field,stock_dropshipping,purchase.order,reference,self_reference,_prepare_group_vals,0.882,57,approved
58,invoice_status,invoice_state,field,purchase,purchase.order,declaration,primary,,0.9,,auto_approved
61,qty_received,qty_transfered,field,purchase,purchase.order.line,declaration,primary,,0.9,,auto_approved
332,qty_received,qty_transfered,field,purchase,purchase.order.line,reference,self_reference,_track_qty_received,0.882,61,approved
333,qty_received,qty_transfered,field,purchase_stock,purchase.order.line,reference,self_reference,_prepare_account_move_line,0.882,61,approved
66,purchase_order_count,count_purchase_order,field,purchase,res.partner,declaration,primary,,0.9,,auto_approved
338,purchase_order_count,count_purchase_order,field,purchase,res.partner,reference,self_reference,_compute_purchase_order_count,0.882,66,approved
67,action_purchase_matching,action_view_purchase_matching,method,purchase,account.move,declaration,primary,,1,,auto_approved
72,action_rfq_send,action_send_rfq,method,purchase,purchase.order,declaration,primary,,1,,auto_approved
73,_compute_invoice,_compute_invoice_ids,method,purchase,purchase.order,declaration,primary,,1,,auto_approved
74,onchange_date_planned,_onchange_date_planned,method,purchase,purchase.order,declaration,primary,,0.9,,auto_approved
75,_update_date_planned_for_lines,_update_order_lines_date_planned,method,purchase,purchase.order,declaration,primary,,0.9,,auto_approved
82,_get_gross_price_unit,_get_price_unit_gross,method,purchase,purchase.order.line,declaration,primary,,1,,auto_approved
83,_compute_tax_id,_compute_tax_ids,method,purchase,purchase.order.line,declaration,primary,,1,,auto_approved
341,_compute_tax_id,_compute_tax_ids,method,purchase,purchase.order.line,call,self_call,_product_id_change,0.9,83,auto_approved
84,_compute_qty_received,_compute_qty_transfered,method,purchase,purchase.order.line,declaration,primary,,0.9,,auto_approved
96,_compute_qty_received,_compute_qty_transfered,method,purchase_mrp,purchase.order.line,declaration,inheritance,,0.9,84,auto_approved
116,_compute_qty_received,_compute_qty_transfered,method,purchase_stock,purchase.order.line,declaration,inheritance,,0.9,84,auto_approved
342,_compute_qty_received,_compute_qty_transfered,method,purchase_mrp,purchase.order.line,super_call,inheritance,_compute_qty_received,0.833,84,approved
343,_compute_qty_received,_compute_qty_transfered,method,purchase_stock,purchase.order.line,super_call,inheritance,_compute_qty_received,0.833,84,approved
91,_compute_purchase_order_count,_compute_count_purchase_order,method,purchase,res.partner,declaration,primary,,0.9,,auto_approved
92,purchase_order_count,count_purchase_order,field,purchase_mrp,mrp.production,declaration,primary,,0.9,,auto_approved
93,_compute_purchase_order_count,_compute_count_purchase_order,method,purchase_mrp,mrp.production,declaration,primary,,0.9,,auto_approved
94,_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line,declaration,primary,,1,,auto_approved
348,_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line,call,self_call,_get_qty_procurement,0.9,94,auto_approved
347,_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line,super_call,inheritance,_get_qty_procurement,0.85,94,approved
112,_get_qty_procurement,_get_procurement_qty,method,purchase_stock,purchase.order.line,declaration,primary,,1,,auto_approved
350,_get_qty_procurement,_get_procurement_qty,method,purchase_stock,purchase.order.line,call,self_call,_get_qty_procurement,0.9,112,auto_approved
349,_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line,super_call,inheritance,_get_qty_procurement,0.85,112,approved
